DATE,NZD
2013-10-01,1.1983223487118035
2013-11-01,1.210800339024095
2013-12-01,1.215953307392996
2014-01-01,1.2084592145015105
2014-02-01,1.205254911413764
2014-03-01,1.1710973181871414
2014-04-01,1.1619800139437602
2014-05-01,1.1621150493898895
2014-06-01,1.1599582415033058
2014-07-01,1.1511453896627144
2014-08-01,1.185255422543558
2014-09-01,1.2294074256208507
2014-10-01,1.2696800406297613
2014-11-01,1.2764871074802144
2014-12-01,1.2876641771825907
2015-01-01,1.3109596224436286
2015-02-01,1.3415615776764154
2015-03-01,1.3404825737265416
2015-04-01,1.3164823591363874
2015-05-01,1.3544629554381689
2015-06-01,1.4316392269148175
2015-07-01,1.5037593984962405
2015-08-01,1.5269506794930523
2015-09-01,1.5775358889414735
2015-10-01,1.4940983116689077
2015-11-01,1.5257857796765335
