DATE,KRW
2016-01-01,1203.3179
2016-02-01,1216.2285
2016-03-01,1181.573
2016-04-01,1145.7967
2016-05-01,1173.7905
2016-06-01,1165.2023
2016-07-01,1140.865
2016-08-01,1110.0183
2016-09-01,1108.3638
2016-10-01,1128.166
2016-11-01,1162.708
2016-12-01,1183.07
2017-01-01,1179.1074
2017-02-01,1140.4874
2017-03-01,1133.8617
2017-04-01,1134.1755
2017-05-01,1125.1359
2017-06-01,1130.8464
2017-07-01,1131.746
2017-08-01,1130.27
2017-09-01,1131.599
2017-10-01,1130.8838
2017-11-01,1099.7945
2017-12-01,1082.902
2018-01-01,1065.641
2018-02-01,1078.4747
2018-03-01,1069.9418
2018-04-01,1068.0452
2018-05-01,1076.6595
2018-06-01,1094.3552
2018-07-01,1122.2029
2018-08-01,1120.427
2018-09-01,1119.82
2018-10-01,1131.615
2018-11-01,1125.345
2018-12-01,1122.4244
2019-01-01,1120.33
2019-02-01,1121.8333
2019-03-01,1131.6005
2019-04-01,1142.165
2019-05-01,1182.9527
2019-06-01,1173.7845
2019-07-01,1177.2345
2019-08-01,1210.3782
2019-09-01,1194.1145
2019-10-01,1183.4473
2019-11-01,1167.2989
2019-12-01,1174.7052
2020-01-01,1167.4624
2020-02-01,1195.3358
2020-03-01,1218.1945
2020-04-01,1223.1309
2020-05-01,1228.134
2020-06-01,1206.9459
2020-07-01,1198.6186
2020-08-01,1186.8562
2020-09-01,1176.8619
2020-10-01,1143.7681
2020-11-01,1116.0978
2020-12-01,1093.7876
2021-01-01,1098.2367
2021-02-01,1111.8137
2021-03-01,1130.2543
2021-04-01,1117.8555
2021-05-01,1123.6565
2021-06-01,1122.6073
2021-07-01,1146.3948
2021-08-01,1160.9945
2021-09-01,1172.819
2021-10-01,1181.89
2021-11-01,1184.06
2021-12-01,1183.8871
2022-01-01,1196.0345
2022-02-01,1199.1226
2022-03-01,1220.8409
2022-04-01,1235.1533
2022-05-01,1268.8081
2022-06-01,1277.4057
2022-07-01,1308.0295
2022-08-01,1319.4122
2022-09-01,1396.3729
2022-10-01,1426.065
2022-11-01,1361.79
2022-12-01,1293.5629
2023-01-01,1243.0705
2023-02-01,1275.4205
2023-03-01,1306.0161
2023-04-01,1322.057
2023-05-01,1327.48
2023-06-01,1297.2514
2023-07-01,1282.2835
2023-08-01,1321.7561
2023-09-01,1334.237
2023-10-01,1351.5071
2023-11-01,1308.154
2023-12-01,1304.3945
2024-01-01,1325.9119
2024-02-01,1331.3345
2024-03-01,1331.6752
2024-04-01,1367.8555
2024-05-01,1364.7241
2024-06-01,1379.0526
2024-07-01,1382.0473
2024-08-01,1351.4436
